Dataset,Model,Accuracy,Training_Time,Trust_Score,Trust_Level,Explainability,Robustness,Bias_Shift,Concept_Drift,CUDA,Color,Description
iris,Random Forest,0.9111111111111111,0.18745684623718262,0.6675924616113555,Умеренное доверие,0.18180461334483033,0.9829020542447446,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
iris,MLP Neural Network (CPU),0.7777777777777778,0.028331995010375977,0.6464480870455831,Умеренное доверие,0.18574405585961293,0.9071682156724599,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
iris,Support Vector Machine,0.9111111111111111,0.0019142627716064453,0.6280203486740934,Умеренное доверие,0.18666615732627465,0.8445129524786117,0.001,0.001,False,#DC143C,Метод опорных векторов
iris,Gradient Boosting,0.9333333333333333,0.16358137130737305,0.6817959497639118,Умеренное доверие,0.22190449555876288,0.9767805051346887,0.001,0.001,False,#FF8C00,Градиентный бустинг
iris,MLP Neural Network (CUDA),0.7555555555555555,0.5167858600616455,0.6450663422821293,Умеренное доверие,0.18292566341546715,0.906320256386475,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
iris,XANFIS,0.8666666666666667,13.074684143066406,0.6452908539283206,Умеренное доверие,0.18411349239624875,0.9054848565660707,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
