Dataset,Model,Accuracy,Training_Time,Trust_Score,Trust_Level,Explainability,Robustness,Bias_Shift,Concept_Drift,CUDA,Color,Description
iris,Random Forest,0.9111111111111111,0.18825340270996094,0.7939643263106091,Умеренное доверие,0.5,0.9798810877020304,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
iris,MLP Neural Network (CPU),0.7777777777777778,0.033841609954833984,0.8442851142691998,Высокое доверие,0.6107282629819906,0.9999793635880116,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
iris,Support Vector Machine,0.9111111111111111,0.0020546913146972656,0.8442864477177772,Высокое доверие,0.6107282629819906,0.9999838084166028,0.001,0.001,False,#DC143C,Метод опорных векторов
iris,Gradient Boosting,0.9333333333333333,0.1734158992767334,0.8558929710330037,Высокое доверие,0.6581433499406179,0.9754521035225214,0.001,0.001,False,#FF8C00,Градиентный бустинг
iris,MLP Neural Network (CUDA),0.7555555555555555,0.7448866367340088,0.803539839076723,Высокое доверие,0.5151508595170852,0.9915983175662962,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
iris,XANFIS,0.37777777777777777,0.3455944061279297,0.7596670023710995,Умеренное доверие,0.4821579199797758,0.8893461145972974,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
breast_cancer,Random Forest,0.9415204678362573,0.16159772872924805,0.7331006037382073,Умеренное доверие,0.5,0.9436686791273574,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
breast_cancer,MLP Neural Network (CPU),0.9707602339181286,0.07142233848571777,0.8053641314909952,Высокое доверие,0.6107282629819906,1.0,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
breast_cancer,Support Vector Machine,0.9824561403508771,0.012708902359008789,0.8053641314909952,Высокое доверие,0.6107282629819906,1.0,0.001,0.001,False,#DC143C,Метод опорных векторов
breast_cancer,Gradient Boosting,0.9532163742690059,0.48465609550476074,0.6323736680700154,Умеренное доверие,0.3294973962536701,0.8920832331439347,0.001,0.001,False,#FF8C00,Градиентный бустинг
breast_cancer,MLP Neural Network (CUDA),0.9707602339181286,0.21985459327697754,0.5584251961990667,Низкое доверие,0.3497102310404307,0.6119002689295046,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,Random Forest,1.0,0.16659808158874512,0.7994667610800261,Умеренное доверие,0.5,0.9982225369334207,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
wine,MLP Neural Network (CPU),0.9074074074074074,0.024044513702392578,0.8442913051927963,Высокое доверие,0.6107282629819906,1.0,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
wine,Support Vector Machine,0.9814814814814815,0.003106355667114258,0.8442913051927963,Высокое доверие,0.6107282629819906,1.0,0.001,0.001,False,#DC143C,Метод опорных векторов
wine,Gradient Boosting,0.9814814814814815,0.2352766990661621,0.8201023978897886,Высокое доверие,0.5520550343467269,0.997601280503659,0.001,0.001,False,#FF8C00,Градиентный бустинг
wine,MLP Neural Network (CUDA),0.9629629629629629,0.09238100051879883,0.738160740163331,Умеренное доверие,0.3769144928798277,0.9579831433713331,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,XANFIS,0.46296296296296297,0.26327085494995117,0.741870222688652,Умеренное доверие,0.39089941190354316,0.9517015264241155,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
digits_binary,Random Forest,1.0,0.17321324348449707,0.7999627219636536,Умеренное доверие,0.5,0.9998757398788456,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
digits_binary,MLP Neural Network (CPU),0.9977777777777778,0.1318976879119873,0.7819601331408215,Умеренное доверие,0.5544045521056008,0.8673277076619372,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
digits_binary,Support Vector Machine,1.0,0.023311614990234375,0.8442913051927963,Высокое доверие,0.6107282629819905,1.0,0.001,0.001,False,#DC143C,Метод опорных векторов
digits_binary,Gradient Boosting,1.0,0.4518859386444092,0.7897714993350576,Умеренное доверие,0.4745467578191181,0.9998426540247013,0.001,0.001,False,#FF8C00,Градиентный бустинг
digits_binary,MLP Neural Network (CUDA),1.0,0.49213075637817383,0.7307964252250536,Умеренное доверие,0.5057082705431712,0.7617103900259503,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
