Dataset,Model,Accuracy,Training_Time,Trust_Score,Trust_Level,Explainability,Robustness,Bias_Shift,Concept_Drift,CUDA,Color,Description
iris,Random Forest,0.9111111111111111,0.17764973640441895,0.6701446372217846,Умеренное доверие,0.18573212265413166,0.9861726272004399,0.001,0.001,False,#2E8B57,Ансамбль решающих деревьев
iris,MLP Neural Network (CPU),0.7777777777777778,0.028995037078857422,0.6478038665477999,Умеренное доверие,0.18986085843547953,0.9061984105786935,0.001,0.001,False,#4169E1,Многослойный персептрон (CPU)
iris,Support Vector Machine,0.9111111111111111,0.0019049644470214844,0.6256008898867753,Умеренное доверие,0.1907900348742271,0.8309495864569482,0.001,0.001,False,#DC143C,Метод опорных векторов
iris,Gradient Boosting,0.9333333333333333,0.16573786735534668,0.6842934180992478,Умеренное доверие,0.2258153238076523,0.9798909619206232,0.001,0.001,False,#FF8C00,Градиентный бустинг
iris,MLP Neural Network (CUDA),0.7555555555555555,0.5209691524505615,0.6415395344600647,Умеренное доверие,0.18706384060986173,0.8890466607203998,0.001,0.001,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
iris,XANFIS,0.8666666666666667,13.091311693191528,0.9929927716181435,Высокое доверие,1.0,0.9766425720604779,0.001,0.001,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
