Dataset,Model,Accuracy,Training_Time,Trust_Score,Trust_Level,Explainability,Robustness,Bias_Shift,Concept_Drift,CUDA,Color,Description
iris,Random Forest,0.9111111111111111,0.18340420722961426,0.4230687589163237,Низкое доверие,0.18573212265413166,0.9852702642106024,0.7759909895099532,0.04855070599769236,False,#2E8B57,Ансамбль решающих деревьев
iris,MLP Neural Network (CPU),0.7777777777777778,0.029217958450317383,0.6151529346361511,Умеренное доверие,0.18995987427675587,0.8718719212521593,0.05030322930695193,0.028312546003384995,False,#4169E1,Многослойный персептрон (CPU)
iris,Support Vector Machine,0.9111111111111111,0.0019495487213134766,0.6131028527555689,Умеренное доверие,0.19091915696173567,0.8503219233282041,0.03730159761592844,0.02851322628795231,False,#DC143C,Метод опорных векторов
iris,Gradient Boosting,0.9333333333333333,0.18153882026672363,0.4368630479623807,Низкое доверие,0.2258153238076523,0.9793644793535953,0.7778283902137101,0.04855070599769236,False,#FF8C00,Градиентный бустинг
iris,MLP Neural Network (CUDA),0.7555555555555555,0.5368618965148926,0.3796914581588184,Очень низкое доверие,0.18709435432916027,0.8808212521910445,0.8552049416296922,0.01077196528907939,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
iris,XANFIS,0.8888888888888888,4.018468141555786,0.7549222852311275,Умеренное доверие,1.0,0.971141563092244,0.749023559097228,0.041034457546346076,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
breast_cancer,Random Forest,0.9415204678362573,0.16386079788208008,0.4426423036857311,Низкое доверие,0.17191676985094523,0.9453893325635325,0.597947700204643,0.013116431244587222,False,#2E8B57,Ансамбль решающих деревьев
breast_cancer,MLP Neural Network (CPU),0.9707602339181286,0.06278610229492188,0.5372009183992554,Низкое доверие,0.10985616324570116,1.0,0.0450440051046906,0.01474592402274109,False,#4169E1,Многослойный персептрон (CPU)
breast_cancer,Support Vector Machine,0.9824561403508771,0.01121377944946289,0.5275805044644124,Низкое доверие,0.10985616324570116,1.0,0.03593197118315615,0.03478434526554445,False,#DC143C,Метод опорных векторов
breast_cancer,Gradient Boosting,0.9532163742690059,0.45430564880371094,0.45025579787305536,Низкое доверие,0.21095558752550198,0.8962499666265613,0.5856766822953637,0.013116431244587222,False,#FF8C00,Градиентный бустинг
breast_cancer,MLP Neural Network (CUDA),0.9707602339181286,0.20824742317199707,0.34235993594600034,Очень низкое доверие,0.12910919096173848,0.6780124237109263,0.582439548275789,0.022912095598788228,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
breast_cancer,XANFIS,0.5497076023391813,31.277129888534546,0.8634886605779509,Высокое доверие,1.0,0.7595610258495027,0.25294632686126706,0.03121388791052386,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
wine,Random Forest,1.0,0.18132495880126953,0.5429981120716983,Низкое доверие,0.16966845810584658,0.9977139553886923,0.4026181271838757,0.01141761849286289,False,#2E8B57,Ансамбль решающих деревьев
wine,MLP Neural Network (CPU),0.9074074074074074,0.025307416915893555,0.6296097868454228,Умеренное доверие,0.1273612343246028,1.0,0.04784771597107876,0.023542946694279178,False,#4169E1,Многослойный персептрон (CPU)
wine,Support Vector Machine,0.9814814814814815,0.003347158432006836,0.5858268376454399,Низкое доверие,0.1273612343246028,0.85,0.05076478126555474,0.01935561404043358,False,#DC143C,Метод опорных векторов
wine,Gradient Boosting,0.9814814814814815,0.2607264518737793,0.5602272963751852,Низкое доверие,0.21936270558547372,0.9978442241039475,0.4115752992940072,0.01141761849286289,False,#FF8C00,Градиентный бустинг
wine,MLP Neural Network (CUDA),0.9629629629629629,0.0967566967010498,0.48104111336786115,Низкое доверие,0.17756289299217837,0.8442957351452377,0.4406906165991252,0.044670653805556584,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,XANFIS,0.7592592592592593,5.5247697830200195,0.9355483545531169,Высокое доверие,1.0,0.9549214352936577,0.158394968595266,0.011973194431738002,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
digits_binary,Random Forest,1.0,0.18458294868469238,0.6589216940748166,Умеренное доверие,0.19346966194265444,0.9998835536111812,0.04610175669677846,0.015456321138553872,False,#2E8B57,Ансамбль решающих деревьев
digits_binary,MLP Neural Network (CPU),0.9977777777777778,0.11099457740783691,0.5791792999284537,Низкое доверие,0.16288552128943148,0.7604351916304206,0.012604635203311614,0.04631111445219747,False,#4169E1,Многослойный персептрон (CPU)
digits_binary,Support Vector Machine,1.0,0.020673274993896484,0.5827723277768362,Низкое доверие,0.13066366601022358,0.85,0.04258407865233729,0.047041931584147254,False,#DC143C,Метод опорных векторов
digits_binary,Gradient Boosting,1.0,0.45398521423339844,0.6815653297966713,Умеренное доверие,0.2501700535630319,0.9997599209764824,0.04610175669677846,0.015456321138553872,False,#FF8C00,Градиентный бустинг
digits_binary,MLP Neural Network (CUDA),1.0,0.4232780933380127,0.5922765553530638,Низкое доверие,0.15478541978876795,0.8488219438311818,0.05509160371423027,0.03093427452248667,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
digits_binary,XANFIS,0.6844444444444444,212.4679572582245,0.9651127890943976,Высокое доверие,1.0,0.9700008548672803,0.04516969950883061,0.043318473829250595,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
